# Index  Bias  Std  SNR  Robust  Combined
0.000000 0.008696 0.986849 5.113401 0.991304 0.160868
1.000000 0.004348 1.516981 8.379055 0.995652 0.183213
2.000000 0.004348 1.021962 3.085950 0.995652 0.135231
3.000000 0.034783 0.902371 3.717734 0.965217 0.191761
4.000000 0.004348 0.848760 3.300590 0.995652 0.137177
5.000000 0.000000 2.242055 10.478628 1.000000 0.194988
6.000000 0.008696 0.784194 3.730893 0.991304 0.148335
7.000000 0.026087 1.047068 4.723484 0.973913 0.186363
8.000000 0.008696 0.855629 3.039310 0.991304 0.142066
9.000000 0.026087 0.861943 3.547238 0.973913 0.175701
10.000000 0.013043 0.851248 3.428501 0.986957 0.152852
11.000000 0.004348 2.353191 15.242552 0.995652 0.245430
12.000000 0.004348 2.744491 33.984793 0.995652 0.415327
13.000000 0.000000 0.874095 3.150642 1.000000 0.128560
14.000000 0.000000 1.991117 12.125043 1.000000 0.209913
15.000000 0.004348 2.215272 26.888730 0.995652 0.351002
16.000000 0.008696 1.391566 5.467571 0.991304 0.164078
17.000000 0.017391 1.196388 4.486726 0.982609 0.169702
18.000000 0.026087 1.128477 8.682203 0.973913 0.222249
19.000000 0.000000 1.475929 11.106337 1.000000 0.200678
20.000000 0.017391 1.488117 4.861460 0.982609 0.173099
21.000000 0.226087 2.818482 25.750903 0.773913 0.710822
22.000000 0.039130 0.706197 5.511857 0.960870 0.215282
23.000000 0.026087 1.353505 3.199547 0.973913 0.172549
24.000000 0.004348 2.150516 7.719733 0.995652 0.177236
25.000000 0.069565 1.314243 4.915380 0.930435 0.260678
26.000000 0.000000 1.548013 7.401836 1.000000 0.167097
27.000000 0.004348 0.941681 3.776993 0.995652 0.141496
28.000000 0.008696 0.866879 3.896180 0.991304 0.149834
29.000000 0.017391 0.896125 3.641356 0.982609 0.162039
30.000000 0.004348 0.808921 3.078193 0.995652 0.135161
31.000000 0.000000 0.442491 3.616675 1.000000 0.132785
32.000000 0.013043 0.695884 3.453982 0.986957 0.153083
33.000000 0.013043 0.828699 4.164039 0.986957 0.159519
34.000000 0.017391 0.724910 3.464685 0.982609 0.160437
35.000000 0.008696 0.695908 3.723992 0.991304 0.148273
36.000000 0.004348 2.079477 26.990324 0.995652 0.351923
37.000000 0.004348 2.654845 40.778448 0.995652 0.476912
38.000000 0.008696 1.710675 14.987136 0.991304 0.250372
39.000000 0.004348 2.874464 55.157593 0.995652 0.607258
40.000000 0.021739 0.871495 4.174383 0.978261 0.174128
41.000000 0.017391 0.628479 3.249549 0.982609 0.158487
42.000000 0.004348 2.081935 25.982188 0.995652 0.342784
43.000000 0.004348 1.216022 4.278192 0.995652 0.146039
44.000000 0.008696 0.730674 3.785585 0.991304 0.148831
45.000000 0.008696 1.007943 6.400896 0.991304 0.172539
46.000000 0.008696 1.662693 10.063579 0.991304 0.205741
47.000000 0.000000 0.977757 3.869033 1.000000 0.135073
48.000000 0.030435 0.935497 3.661451 0.969565 0.183993
49.000000 0.017391 0.466717 4.032940 0.982609 0.165588
50.000000 0.013043 1.035680 5.989294 0.986957 0.176065
51.000000 0.004348 0.760874 3.626002 0.995652 0.140127
52.000000 0.008696 0.808348 3.075938 0.991304 0.142398
53.000000 0.000000 0.863484 3.519331 1.000000 0.131903
