Index,Type,CycleIdx,Combined,Bias,Dprime,AUC,Robust,Std
21,Normal,21,0.8246501254758506,0.22999999999999998,-6.234398280346118,1.0,0.77,2.801739871455616
39,Normal,39,0.8107934782603314,0.015000000000000013,-10.432885914569878,1.0,0.985,2.858898756118163
37,Normal,37,0.7692522655673004,0.015000000000000013,-9.194615249486114,1.0,0.985,2.6513385518448276
12,Normal,12,0.7402175752759605,0.015000000000000013,-8.329142074130552,1.0,0.985,2.7308728884464744
36,Normal,36,0.7172962351288086,0.015000000000000013,-7.645897140518237,1.0,0.985,2.090650101435482
15,Normal,15,0.7082017049398832,0.015000000000000013,-7.374805152210582,1.0,0.985,2.201870583318144
42,Normal,42,0.7038989661701756,0.015000000000000013,-7.24654805876898,1.0,0.985,2.099630526836833
38,Normal,38,0.6514326449444463,0.010000000000000009,-5.789863959912502,1.0,0.99,1.717954697334687
11,Normal,11,0.6404982062585427,0.015000000000000013,-5.356682644325655,1.0,0.985,2.3255065712067036
14,Normal,14,0.6272831820441801,0.010000000000000009,-5.070010841807821,1.0,0.99,1.9872541351865558
19,Normal,19,0.6183762627787752,0.010000000000000009,-4.804511205961356,1.0,0.99,1.4915175156436218
18,Normal,18,0.6148531974459,0.030000000000000027,-4.270515277077223,1.0,0.97,1.1215879694310893
5,Normal,5,0.6134608609789816,0.010000000000000009,-4.657991702528428,1.0,0.99,2.2285671162518796
25,Normal,25,0.606067010897094,0.07499999999999996,-3.0434105232564086,1.0,0.925,1.3168108088213188
46,Normal,46,0.5973381915125513,0.0,-4.391892979755252,1.0,1.0,1.6762209180619685
1,Normal,1,0.5900045514629655,0.010000000000000009,-3.958800270649977,1.0,0.99,1.5079980663025616
24,Normal,24,0.584957241924156,0.0050000000000000044,-3.9155937121116042,1.0,0.995,2.1560225139809392
45,Normal,45,0.5811893251510656,0.015000000000000013,-3.5887889577109178,1.0,0.985,1.0174487875654514
22,Normal,22,0.5807384785167171,0.030000000000000027,-3.2536153610891723,1.0,0.97,0.7064167860833263
26,Normal,26,0.58008325413367,0.0050000000000000044,-3.770308687634032,1.0,0.995,1.5412538326777832
50,Normal,50,0.5756349500704288,0.010000000000000009,-3.5304676650322757,1.0,0.99,1.0306005059266576
7,Normal,7,0.5681160014402904,0.020000000000000018,-3.0918512322701575,1.0,0.98,1.0140564203058073
16,Normal,16,0.5638777482014699,0.0050000000000000044,-3.287250988838183,1.0,0.995,1.413017361079113
20,Normal,20,0.5608463580279845,0.010000000000000009,-3.0896456832724173,1.0,0.99,1.470671387501117
29,Normal,29,0.5602649784889355,0.020000000000000018,-2.857826012943979,1.0,0.98,0.8704477265406817
3,Normal,3,0.5602308093947996,0.025000000000000022,-2.749562609039925,1.0,0.975,0.9267680268055117
40,Normal,40,0.5601270830128804,0.020000000000000018,-2.8537155907444927,1.0,0.98,0.8617955932562287
17,Normal,17,0.5586075512932227,0.015000000000000013,-2.915665899403738,1.0,0.985,1.1934921590983267
35,Normal,35,0.5574576815865226,0.020000000000000018,-2.7741454177691143,1.0,0.98,0.7200955437633706
48,Normal,48,0.5574345081143994,0.025000000000000022,-2.666209774065111,1.0,0.975,0.9257082648373277
0,Normal,0,0.5568586880472295,0.0,-3.185270003949028,1.0,1.0,0.9931191416817015
53,Normal,53,0.5566377474373496,0.025000000000000022,-2.6424597362226074,1.0,0.975,0.8528908999423147
33,Normal,33,0.5565538671297414,0.010000000000000009,-2.9616940608989784,1.0,0.99,0.8164352118516599
28,Normal,28,0.5561012879786473,0.015000000000000013,-2.8409585873099097,1.0,0.985,0.8678901724011228
23,Normal,23,0.5554775556530012,0.030000000000000027,-2.500631571563678,1.0,0.97,1.3392759187863572
27,Normal,27,0.5547229428880898,0.015000000000000013,-2.799872538507922,1.0,0.985,0.9579235418357197
9,Normal,9,0.5537320901198144,0.020000000000000018,-2.663092072807783,1.0,0.98,0.8350269891459249
10,Normal,10,0.5520011401035481,0.020000000000000018,-2.6114954898262632,1.0,0.98,0.8708466218495939
44,Normal,44,0.551124768871027,0.015000000000000013,-2.69261728416281,1.0,0.985,0.7439869888292966
43,Normal,43,0.5510928544966234,0.0050000000000000044,-2.906155738973676,1.0,0.995,1.2363068429231965
32,Normal,32,0.5491212722015921,0.015000000000000013,-2.6328965636415607,1.0,0.985,0.6822772562552207
49,Normal,49,0.5491122187660218,0.0050000000000000044,-2.8471164629288506,1.0,0.995,0.4657543734598962
47,Normal,47,0.546009772671952,0.0050000000000000044,-2.754637988198746,1.0,0.995,0.985141267117563
51,Normal,51,0.5455373992590655,0.0050000000000000044,-2.740557365553828,1.0,0.995,0.7431486032396235
52,Normal,52,0.5455060170616997,0.020000000000000018,-2.4178872678356815,1.0,0.98,0.8100167773427794
31,Normal,31,0.5422521092317334,0.0,-2.7498735171368613,1.0,1.0,0.44007031856401324
6,Normal,6,0.5412152301325177,0.0,-2.718965970424516,1.0,1.0,0.7949259797665027
41,Normal,41,0.5412029715740001,0.010000000000000009,-2.504110797986001,1.0,0.99,0.6382912437038567
8,Normal,8,0.5406212586369268,0.010000000000000009,-2.486770955964523,1.0,0.99,0.8418647576123819
4,Normal,4,0.5389922570899008,0.0050000000000000044,-2.5454581611379936,1.0,0.995,0.8641625782316693
34,Normal,34,0.5389004055900992,0.0050000000000000044,-2.5427202290851016,1.0,0.995,0.7275666150901973
2,Normal,2,0.537580571773753,0.0050000000000000044,-2.5033782987075788,1.0,0.995,1.0409303679959856
